"","lon","lat","year","sif_mean","prec_tot"
"1",-73.5,-8,2016,0.41298399166185,1172.74
"2",-73.5,-7.5,2016,0.394939517974853,1195.05
"3",-73.5,-7,2016,0.341370953453912,1273.45
"4",-73,-8.5,2016,0.355641955421084,1436.67
"5",-73,-8,2016,0.320598420921279,1462.67
"6",-73,-7.5,2016,0.297698413393625,1490.91
"7",-73,-7,2016,0.315686735673384,1545.85
"8",-73,-6.5,2016,0.315613592863083,1743.52
"9",-73,-6,2016,0.291114355818363,2077.74
"10",-72.5,-9,2016,0.355481840477973,1379.23
"11",-72.5,-8.5,2016,0.343976769295765,1377.55
"12",-72.5,-8,2016,0.296452673302668,1402.21
"13",-72.5,-7.5,2016,0.286693811730748,1442.39
"14",-72.5,-7,2016,0.278013009291429,1500.75
"15",-72.5,-6.5,2016,0.239145227840969,1758.84
"16",-72.5,-6,2016,0.230575222439236,2134.28
"17",-72.5,-5.5,2016,0.307740026445531,2381.76
"18",-72.5,-5,2016,0.344136967378504,2510.5
"19",-72,-10,2016,0.335213314061409,1341.46
"20",-72,-9.5,2016,0.267518190627402,1452.56
"21",-72,-9,2016,0.257316965256294,1538.38
"22",-72,-8.5,2016,0.254388503539257,1639.42
"23",-72,-8,2016,0.321619987487793,1745.42
"24",-72,-7.5,2016,0.339993476867676,1800.5
"25",-72,-7,2016,0.475114822387695,1828.64
"26",-72,-6.5,2016,0.413545906543732,1916.66
"27",-72,-6,2016,0.370052613710102,2067.14
"28",-72,-5.5,2016,0.330696947434369,2213.05
"29",-72,-5,2016,0.294044636843497,2327.77
"30",-71.5,-10,2016,0.491831814370504,1161.18
"31",-71.5,-9.5,2016,0.446646384822512,1308.4
"32",-71.5,-9,2016,0.433639909400315,1505.1
"33",-71.5,-8.5,2016,0.364833637159698,1756.88
"34",-71.5,-8,2016,0.329788604792017,1947.52
"35",-71.5,-7.5,2016,0.29477103958782,1986.77
"36",-71.5,-7,2016,0.294372789359387,1996.25
"37",-71.5,-6.5,2016,0.316625978693616,2003.99
"38",-71.5,-6,2016,0.309024142959137,2019.88
"39",-71.5,-5.5,2016,0.290260690481552,2057.42
"40",-71.5,-5,2016,0.325233587973026,2114.67
"41",-71.5,-4.5,2016,0.313500298394097,2188.68
"42",-71,-9.5,2016,0.332191259341132,1308.4
"43",-71,-9,2016,0.354595129892706,1505.1
"44",-71,-8.5,2016,0.361268201974722,1756.88
"45",-71,-8,2016,0.332508609408424,1947.52
"46",-71,-7.5,2016,0.318221953755991,1986.77
"47",-71,-7,2016,0.299623531710074,1996.25
"48",-71,-6.5,2016,0.250505490249462,2003.99
"49",-71,-6,2016,0.255984923878654,2019.88
"50",-71,-5.5,2016,0.436836306254069,2057.42
"51",-71,-5,2016,0.289375505949322,2114.67
"52",-71,-4.5,2016,0.372132110595703,2188.68
"53",-70.5,-10.5,2016,0.372351675617452,1095.47
"54",-70.5,-10,2016,0.363958254884844,994.39
"55",-70.5,-9.5,2016,0.375013588105931,1075.44
"56",-70.5,-9,2016,0.239698155359788,1327.6
"57",-70.5,-8.5,2016,0.260908309859459,1684.89
"58",-70.5,-8,2016,0.211258888244629,1932.86
"59",-70.5,-7.5,2016,0.413655757904053,2001.49
"60",-70.5,-7,2016,0.333756714223701,2031.84
"61",-70.5,-6.5,2016,0.282901471853256,2060.01
"62",-70.5,-6,2016,0.356228425767687,2051.36
"63",-70.5,-5.5,2016,0.342707024245966,2052.64
"64",-70.5,-5,2016,0.331595502682586,2065.95
"65",-70.5,-4.5,2016,0.285953637570311,2151
"66",-70,-10.5,2016,0.356059006282261,1188.15
"67",-70,-10,2016,0.178047588893345,1031.45
"68",-70,-9.5,2016,0.371288039467552,986.02
"69",-70,-9,2016,0.413164676764073,1161.78
"70",-70,-8.5,2016,0.361399894807397,1486.92
"71",-70,-8,2016,0.40556855003039,1771.05
"72",-70,-7.5,2016,0.34604121477176,1945.62
"73",-70,-7,2016,0.330438169296102,2039.34
"74",-70,-6.5,2016,0.302303665974101,2061.88
"75",-70,-6,2016,0.287879769933954,2054.64
"76",-70,-5.5,2016,0.286337023671052,2050.96
"77",-70,-5,2016,0.291644419010599,2068.66
"78",-70,-4.5,2016,0.277096139706247,2136.7
"79",-70,0,2016,0.299358055239818,2726.36
"80",-70,0.5,2016,0.301483033758114,2740.83
"81",-69.5,-10.5,2016,0.35565303620838,1330.77
"82",-69.5,-10,2016,0.396331339706609,1114.85
"83",-69.5,-9.5,2016,0.416164841621545,988.02
"84",-69.5,-9,2016,0.374476722670906,1061.36
"85",-69.5,-8.5,2016,0.387017015825238,1311.28
"86",-69.5,-8,2016,0.364389867266643,1622.33
"87",-69.5,-7.5,2016,0.348245736282237,1881.84
"88",-69.5,-7,2016,0.300230321278141,2023.32
"89",-69.5,-6.5,2016,0.260449676723271,2061.31
"90",-69.5,-6,2016,0.299619156973703,2060.53
"91",-69.5,-5.5,2016,0.257376469098605,2066.84
"92",-69.5,-5,2016,0.349941337317751,2092.38
"93",-69.5,-4.5,2016,0.34229378266768,2174.53
"94",-69.5,-4,2016,0.324057861610695,2264.28
"95",-69.5,-3.5,2016,0.296604388834059,2288.7
"96",-69.5,-3,2016,0.263917699384917,2289.46
"97",-69.5,-2.5,2016,0.27236735055206,2327.56
"98",-69.5,-2,2016,0.287618402260632,2425
"99",-69.5,-0.5,2016,0.27894245131744,2718.34
"100",-69.5,0,2016,0.326853257572784,2733.42
"101",-69.5,0.5,2016,0.306590357306283,2725.46
"102",-69.5,1.5,2016,0.264264831542969,2690.38
"103",-69,-11,2016,0.353226453065872,1527.56
"104",-69,-10.5,2016,0.403379989292311,1429.33
"105",-69,-10,2016,0.356635450242876,1353.17
"106",-69,-9.5,2016,0.325760664967443,1285.1
"107",-69,-9,2016,0.334825379074,1256.38
"108",-69,-8.5,2016,0.306775235418064,1332.23
"109",-69,-8,2016,0.374626299540202,1529.86
"110",-69,-7.5,2016,0.417944060431586,1776.64
"111",-69,-7,2016,0.339285673097123,1956.68
"112",-69,-6.5,2016,0.302992031728621,2030.04
"113",-69,-6,2016,0.312207119805472,2045.48
"114",-69,-5.5,2016,0.332561166792954,2062.69
"115",-69,-5,2016,0.303835107569109,2111.1
"116",-69,-4.5,2016,0.264183062891806,2172.34
"117",-69,-4,2016,0.323328149867357,2180.6
"118",-69,-3.5,2016,0.334200178431099,2194.98
"119",-69,-3,2016,0.343310868298566,2207.02
"120",-69,-2.5,2016,0.321941377411426,2249.97
"121",-69,-2,2016,0.305002285708055,2376.2
"122",-69,-1.5,2016,0.302874269411545,2544.47
"123",-69,-1,2016,0.304147826300727,2666.37
"124",-69,-0.5,2016,0.309126642015245,2722.51
"125",-69,0,2016,0.305531873201069,2730.9
"126",-69,0.5,2016,0.299043005546637,2713.31
"127",-69,1,2016,0.262704703013102,2682.8
"128",-69,1.5,2016,0.236426864845165,2644.83
"129",-68.5,-11,2016,0.254638521690068,1527.56
"130",-68.5,-10.5,2016,0.244589824302524,1429.33
"131",-68.5,-10,2016,0.415862560272217,1353.17
"132",-68.5,-9.5,2016,0.487089424133301,1285.1
"133",-68.5,-9,2016,0.400644452231271,1256.38
"134",-68.5,-8.5,2016,0.410081340911541,1332.23
"135",-68.5,-8,2016,0.38238250929425,1529.86
"136",-68.5,-7.5,2016,0.313593984588863,1776.64
"137",-68.5,-7,2016,0.284402330186632,1956.68
"138",-68.5,-6.5,2016,0.298357932433176,2030.04
"139",-68.5,-6,2016,0.309564189411985,2045.48
"140",-68.5,-5.5,2016,0.294071175404732,2062.69
"141",-68.5,-5,2016,0.310572695472966,2111.1
"142",-68.5,-4.5,2016,0.300028340669059,2172.34
"143",-68.5,-4,2016,0.285388097576067,2180.6
"144",-68.5,-3.5,2016,0.276248799837553,2194.98
"145",-68.5,-3,2016,0.277560892793321,2207.02
"146",-68.5,-2.5,2016,0.299932737608214,2249.97
"147",-68.5,-2,2016,0.289064109325409,2376.2
"148",-68.5,-1.5,2016,0.256845694321852,2544.47
"149",-68.5,-1,2016,0.258715081402636,2666.37
"150",-68.5,-0.5,2016,0.216750956998013,2722.51
"151",-68.5,0,2016,0.256583125434787,2730.9
"152",-68.5,0.5,2016,0.256979326739359,2713.31
"153",-68.5,1,2016,0.264686066528846,2682.8
"154",-68.5,1.5,2016,0.270516471920417,2644.83
"155",-68,-10.5,2016,0.442145169576009,1442.04
"156",-68,-10,2016,0.391264029911586,1343.53
"157",-68,-9.5,2016,0.384770462036133,1286.49
"158",-68,-9,2016,0.334590045232621,1288.19
"159",-68,-8.5,2016,0.300732616046528,1379.89
"160",-68,-8,2016,0.306228214627896,1558.06
"161",-68,-7.5,2016,0.314556728974553,1754.63
"162",-68,-7,2016,0.314954548030512,1897.61
"163",-68,-6.5,2016,0.281204200085299,1976.51
"164",-68,-6,2016,0.228322613914058,2015.03
"165",-68,-5.5,2016,0.314088697018831,2038.64
"166",-68,-5,2016,0.160675048828125,2083.61
"167",-68,-3,2016,0.326218234791475,2224.12
"168",-68,-2.5,2016,0.282605133620389,2279.44
"169",-68,-2,2016,0.283015945811331,2386.52
"170",-68,-1.5,2016,0.273451068319636,2531.02
"171",-68,-1,2016,0.268144027151243,2659.67
