"","lon","lat","year","sif_mean","prec_tot"
"1",-73.5,-8,2021,0.400836646556854,860.22
"2",-73.5,-7.5,2021,0.38142647213406,1063.79
"3",-73.5,-7,2021,0.370681501067845,1406
"4",-73,-8.5,2021,0.343967014888548,1069.04
"5",-73,-8,2021,0.327821128669826,1144.79
"6",-73,-7.5,2021,0.304610917894103,1456.45
"7",-73,-7,2021,0.306195386676087,1785.75
"8",-73,-6.5,2021,0.332883289610722,2241.59
"9",-73,-6,2021,0.324367223721798,2766.65
"10",-72.5,-9,2021,0.365108797285292,1253.5
"11",-72.5,-8.5,2021,0.366298083008313,989.7
"12",-72.5,-8,2021,0.332502885554041,1065.4
"13",-72.5,-7.5,2021,0.314623304810187,1418.76
"14",-72.5,-7,2021,0.298253500560644,1779.54
"15",-72.5,-6.5,2021,0.234122484380549,2288.94
"16",-72.5,-6,2021,0.117244005203247,2814.38
"17",-72.5,-5.5,2021,0.369793383280436,3124.7
"18",-72.5,-5,2021,0.302552510614265,3262.9
"19",-72,-10,2021,0.329292687255772,1629.78
"20",-72,-9.5,2021,0.313628544883123,1640.53
"21",-72,-9,2021,0.283723525511913,1565.11
"22",-72,-8.5,2021,0.332796703685414,1426.75
"23",-72,-7,2021,0.367011451721191,2105.84
"24",-72,-6.5,2021,0.333074151653133,2382.47
"25",-72,-6,2021,0.360036305018834,2720.79
"26",-72,-5.5,2021,0.297643327713013,2997.09
"27",-72,-5,2021,0.364952675501506,3144.55
"28",-71.5,-10,2021,0.393545355115618,1655.32
"29",-71.5,-9.5,2021,0.412501394748688,1784.16
"30",-71.5,-9,2021,0.388066116644412,1854.11
"31",-71.5,-8.5,2021,0.340144390530056,1893.18
"32",-71.5,-8,2021,0.353549659893077,1960.77
"33",-71.5,-7.5,2021,0.361097275264679,2176.28
"34",-71.5,-7,2021,0.312658016498272,2375.17
"35",-71.5,-6.5,2021,0.359468686902845,2533.81
"36",-71.5,-6,2021,0.330284890744708,2729.46
"37",-71.5,-5.5,2021,0.311619047037105,2933.34
"38",-71.5,-5,2021,0.334151586301767,3042.01
"39",-71.5,-4.5,2021,0.279113818981029,3041.65
"40",-71,-9.5,2021,0.360686385686496,1784.16
"41",-71,-9,2021,0.3199560326266,1854.11
"42",-71,-8.5,2021,0.310219987670659,1893.18
"43",-71,-8,2021,0.313849727759201,1960.77
"44",-71,-7.5,2021,0.329699059589557,2176.28
"45",-71,-7,2021,0.316074324654533,2375.17
"46",-71,-6.5,2021,0.302102178767108,2533.81
"47",-71,-6,2021,0.273145863267242,2729.46
"48",-71,-5.5,2021,0.15461254119873,2933.34
"49",-71,-5,2021,0.36875074736926,3042.01
"50",-71,-4.5,2021,0.34761064140885,3041.65
"51",-70.5,-10.5,2021,0.298072005861662,1399.7
"52",-70.5,-10,2021,0.344057242907779,1677.46
"53",-70.5,-9.5,2021,0.316602045489896,1887.45
"54",-70.5,-9,2021,0.240904898192752,2007.51
"55",-70.5,-8.5,2021,0.260283155348694,2076.52
"56",-70.5,-8,2021,0.293925857543945,2128.54
"57",-70.5,-7.5,2021,0.376362369906518,2284.5
"58",-70.5,-7,2021,0.367825058866138,2495.88
"59",-70.5,-6.5,2021,0.296437381469097,2784.48
"60",-70.5,-6,2021,0.362484422223321,2860.17
"61",-70.5,-5.5,2021,0.335175069563228,2943.53
"62",-70.5,-5,2021,0.300504363101462,2970.15
"63",-70.5,-4.5,2021,0.329005187092303,2857.57
"64",-70,-10.5,2021,0.235945011007375,1381.74
"65",-70,-9.5,2021,0.467113018035889,1873.83
"66",-70,-9,2021,0.45652048928397,1988.36
"67",-70,-8.5,2021,0.444447483932763,2049.04
"68",-70,-8,2021,0.354156582443802,2139.38
"69",-70,-7.5,2021,0.346187522888184,2316.61
"70",-70,-7,2021,0.315081690882777,2575.89
"71",-70,-6.5,2021,0.305802955346949,2764.09
"72",-70,-6,2021,0.334198552240182,2841.34
"73",-70,-5.5,2021,0.317272914662878,2950.32
"74",-70,-5,2021,0.303040533558304,3001.42
"75",-70,-4.5,2021,0.334541475649962,2925.31
"76",-70,0,2021,0.329618489870461,3017.43
"77",-70,0.5,2021,0.325175992180319,3349.84
"78",-69.5,-10.5,2021,0.349646324335143,1337.16
"79",-69.5,-10,2021,0.361380923878063,1511.05
"80",-69.5,-9.5,2021,0.381608355279062,1724.69
"81",-69.5,-9,2021,0.35663965344429,1853.84
"82",-69.5,-8.5,2021,0.342521563443271,1918.14
"83",-69.5,-8,2021,0.350478969952639,2002.77
"84",-69.5,-7.5,2021,0.345206618309021,2158.88
"85",-69.5,-7,2021,0.307566426711443,2330.91
"86",-69.5,-6.5,2021,0.299034773219715,2430.97
"87",-69.5,-6,2021,0.257078857132883,2516.79
"88",-69.5,-5.5,2021,0.244521222795759,2697.46
"89",-69.5,-5,2021,0.237246011432848,2861.47
"90",-69.5,-4.5,2021,0.308477575128729,2766.4
"91",-69.5,-4,2021,0.310572087323224,2321.43
"92",-69.5,-3.5,2021,0.301350314248057,1985.34
"93",-69.5,-3,2021,0.317957993609683,1922.86
"94",-69.5,-2.5,2021,0.304260015487671,1927.12
"95",-69.5,-2,2021,0.269865289811165,2003.43
"96",-69.5,-0.5,2021,0.312032051940462,3032.46
"97",-69.5,0,2021,0.315082919335889,3293.02
"98",-69.5,0.5,2021,0.331164038699606,3467.32
"99",-69.5,1.5,2021,0.221551936013358,3726.94
"100",-69,-11,2021,0.321651025251909,1455.64
"101",-69,-10.5,2021,0.326821242356439,1301.68
"102",-69,-10,2021,0.315271735677914,1304.77
"103",-69,-9.5,2021,0.313654193171748,1501.81
"104",-69,-9,2021,0.305389350110834,1676.38
"105",-69,-8.5,2021,0.256336645076149,1744.07
"106",-69,-8,2021,0.258246940115224,1764.59
"107",-69,-7,2021,0.408081372578939,1820.96
"108",-69,-6.5,2021,0.323026505586143,1870.79
"109",-69,-6,2021,0.304094551145568,2045.92
"110",-69,-5.5,2021,0.31414698927026,2418.38
"111",-69,-5,2021,0.31394853527914,2779.86
"112",-69,-4.5,2021,0.228526443731589,2816.89
