"","lon","lat","year","sif_mean","prec_tot"
"1",-73.5,-7,2018,0.367169539133708,1725.28
"2",-73,-8,2018,0.295804882049561,1739.94
"3",-73,-7.5,2018,0.264074355534145,1822.6
"4",-73,-7,2018,0.311481873661315,1874.15
"5",-73,-6.5,2018,0.305186004382078,1875.29
"6",-73,-6,2018,0.332351889225912,1944.39
"7",-72.5,-9,2018,0.344798407046433,1525.37
"8",-72.5,-8.5,2018,0.327951938030766,1660.6
"9",-72.5,-8,2018,0.3311317293053,1784.06
"10",-72.5,-7.5,2018,0.32309937605524,1846.48
"11",-72.5,-7,2018,0.282543052583051,1875.65
"12",-72.5,-6.5,2018,0.261067271232605,1885.19
"13",-72.5,-6,2018,0.348869779835577,1965.63
"14",-72.5,-5.5,2018,0.351330162642838,2125.94
"15",-72.5,-5,2018,0.338110395379969,2248.44
"16",-72,-10,2018,0.30564031752329,1490.45
"17",-72,-9.5,2018,0.334544646112542,1577.41
"18",-72,-9,2018,0.212399846031552,1633.15
"19",-72,-8.5,2018,0.320203463236491,1693.68
"20",-72,-8,2018,0.38283371925354,1694.31
"21",-72,-7.5,2018,0.341858019773987,1727.83
"22",-72,-7,2018,0.345238375973392,1834.06
"23",-72,-6.5,2018,0.310212608211297,1937.23
"24",-72,-6,2018,0.264956474304199,2069.7
"25",-72,-5.5,2018,0.267824578792491,2250.18
"26",-72,-5,2018,0.292534609486286,2357.99
"27",-71.5,-10,2018,0.361262893676758,1343.45
"28",-71.5,-9.5,2018,0.408132357475085,1506.84
"29",-71.5,-9,2018,0.362029484340123,1647.95
"30",-71.5,-8.5,2018,0.454821953406701,1755.26
"31",-71.5,-8,2018,0.359196722507477,1785.56
"32",-71.5,-7.5,2018,0.319652115030492,1905.37
"33",-71.5,-7,2018,0.295469566805279,2181.49
"34",-71.5,-6.5,2018,0.297701042967957,2487.23
"35",-71.5,-6,2018,0.319208521644274,2628.45
"36",-71.5,-5.5,2018,0.300190240487285,2599.28
"37",-71.5,-5,2018,0.307134872607971,2530.02
"38",-71.5,-4.5,2018,0.305147363127564,2498.14
"39",-71,-9.5,2018,0.360294728515447,1506.84
"40",-71,-9,2018,0.335343675225513,1647.95
"41",-71,-8.5,2018,0.349519629070306,1755.26
"42",-71,-8,2018,0.329534567163346,1785.56
"43",-71,-7.5,2018,0.315259451242179,1905.37
"44",-71,-7,2018,0.276203235658277,2181.49
"45",-71,-6.5,2018,0.205198456259335,2487.23
"46",-71,-6,2018,0.188501358032227,2628.45
"47",-71,-5.5,2018,0.316643714904785,2599.28
"48",-71,-5,2018,0.338602713176182,2530.02
"49",-71,-4.5,2018,0.310318010347384,2498.14
"50",-70.5,-10.5,2018,0.363635322025844,1125.92
"51",-70.5,-10,2018,0.337503873384916,1192.69
"52",-70.5,-9.5,2018,0.330131012918908,1351.47
"53",-70.5,-9,2018,0.242974198781527,1560.33
"54",-70.5,-8.5,2018,0.231340282841733,1779.84
"55",-70.5,-8,2018,0.431270772760565,1941.11
"56",-70.5,-7.5,2018,0.365430549339012,2158.13
"57",-70.5,-7,2018,0.32195579066421,2555.37
"58",-70.5,-6.5,2018,0.308475612539106,3017.28
"59",-70.5,-6,2018,0.299477236611502,2941.7
"60",-70.5,-5.5,2018,0.299886832634608,2713.51
"61",-70.5,-5,2018,0.359620013766819,2544.29
"62",-70.5,-4.5,2018,0.347810986502927,2497.39
"63",-70,-10,2018,0.421655321121216,1171.54
"64",-70,-9.5,2018,0.477563941687868,1276.27
"65",-70,-9,2018,0.428065734751084,1461.75
"66",-70,-8.5,2018,0.410286633048471,1688.39
"67",-70,-8,2018,0.363602390028026,1929.66
"68",-70,-7.5,2018,0.299217207535453,2310.06
"69",-70,-7,2018,0.31784745266563,2778.08
"70",-70,-6.5,2018,0.316767270814641,3035.7
"71",-70,-6,2018,0.325687237246813,2967.27
"72",-70,-5.5,2018,0.310240007116264,2713.8
"73",-70,-5,2018,0.332593232637146,2551.68
"74",-70,-4.5,2018,0.319439190723857,2517.77
"75",-70,0,2018,0.304190896278204,2765.98
"76",-70,0.5,2018,0.318864572741648,2762.88
"77",-69.5,-10.5,2018,0.410163553137528,1152.02
"78",-69.5,-10,2018,0.423257234361437,1127.24
"79",-69.5,-9.5,2018,0.372652784570471,1200.86
"80",-69.5,-9,2018,0.382755450482638,1351
"81",-69.5,-8.5,2018,0.379027872099534,1567.3
"82",-69.5,-8,2018,0.348487907890891,1900.58
"83",-69.5,-7.5,2018,0.348645914011988,2374.22
"84",-69.5,-7,2018,0.332386143377431,2824.18
"85",-69.5,-6.5,2018,0.276593984342089,3027.56
"86",-69.5,-6,2018,0.275626675835971,2944.71
"87",-69.5,-5,2018,0.294651255888097,2493.55
"88",-69.5,-4.5,2018,0.325621025902884,2406.89
"89",-69.5,-4,2018,0.344830120311064,2385.25
"90",-69.5,-3.5,2018,0.277115513296688,2368.83
"91",-69.5,-3,2018,0.308842406734343,2325.55
"92",-69.5,-2.5,2018,0.276543161143427,2293.45
"93",-69.5,-2,2018,0.276194123518073,2352.82
"94",-69.5,-0.5,2018,0.277590188031796,2767.22
"95",-69.5,0,2018,0.311032537857972,2774.9
"96",-69.5,0.5,2018,0.280257865786552,2752.89
"97",-69.5,1.5,2018,0.274041446050008,2664.2
"98",-69,-11,2018,0.329752541602926,1296.16
"99",-69,-10.5,2018,0.368268283782237,1179.99
"100",-69,-10,2018,0.351813175367272,1172.52
"101",-69,-9.5,2018,0.342757327482104,1257.19
"102",-69,-9,2018,0.300206090067769,1393.7
"103",-69,-8.5,2018,0.285672664642334,1565.96
"104",-69,-7.5,2018,0.3268919808524,2273.7
"105",-69,-7,2018,0.394088640809059,2705.44
"106",-69,-6.5,2018,0.333896255493164,2914.25
"107",-69,-6,2018,0.313490708669027,2849.38
"108",-69,-5.5,2018,0.287369061139674,2620.44
"109",-69,-5,2018,0.33163076877594,2405.48
"110",-69,-4.5,2018,0.300668036711571,2285.43
"111",-69,-4,2018,0.279334813821024,2124.39
"112",-69,-3.5,2018,0.315967891897474,2068.75
"113",-69,-3,2018,0.297082212850832,2030.16
"114",-69,-2.5,2018,0.256390583545044,2068.41
"115",-69,-2,2018,0.295431519732063,2276.09
"116",-69,-1.5,2018,0.207097142241722,2568.17
"117",-69,-1,2018,0.239836202348982,2759.52
"118",-69,-0.5,2018,0.177819188435872,2805.53
"119",-69,0,2018,0.253244220085864,2769.56
"120",-69,0.5,2018,0.272837745666504,2713.11
"121",-69,1,2018,0.232806870966782,2659.98
"122",-69,1.5,2018,0.283414232558098,2607.36
"123",-68.5,-11,2018,0.220372923885483,1296.16
"124",-68.5,-10.5,2018,0.282855669657389,1179.99
"125",-68.5,-10,2018,0.585260391235352,1172.52
"126",-68.5,-9.5,2018,0.36893571506847,1257.19
"127",-68.5,-9,2018,0.38469738430447,1393.7
"128",-68.5,-8.5,2018,0.405565638291208,1565.96
"129",-68.5,-8,2018,0.313288847605387,1843.59
"130",-68.5,-7.5,2018,0.297439398588958,2273.7
"131",-68.5,-7,2018,0.320304560374065,2705.44
"132",-68.5,-6.5,2018,0.312150247318228,2914.25
"133",-68.5,-6,2018,0.297179531228953,2849.38
"134",-68.5,-5.5,2018,0.293024053457777,2620.44
"135",-68.5,-5,2018,0.27375597491043,2405.48
"136",-68.5,-4.5,2018,0.227775597424241,2285.43
"137",-68.5,-4,2018,0.152353840489541,2124.39
"138",-68.5,-3.5,2018,0.188142734415391,2068.75
"139",-68.5,-2.5,2018,0.221247933127663,2068.41
"140",-68.5,-2,2018,0.29094819607942,2276.09
"141",-68.5,-1.5,2018,0.178295373916626,2568.17
"142",-68.5,-1,2018,0.286715507507324,2759.52
"143",-68.5,-0.5,2018,0.332130227770124,2805.53
"144",-68.5,0,2018,0.281524911711488,2769.56
"145",-68.5,0.5,2018,0.266025302002525,2713.11
"146",-68.5,1,2018,0.258179863047156,2659.98
"147",-68.5,1.5,2018,0.267907998999771,2607.36
"148",-68,-10.5,2018,0.355594898792023,1174.1
"149",-68,-10,2018,0.35317693816291,1123.89
"150",-68,-9.5,2018,0.412071553866069,1219.5
"151",-68,-9,2018,0.34740840891997,1376.28
"152",-68,-8.5,2018,0.334849936839862,1593.26
"153",-68,-8,2018,0.318383975960742,1916.59
"154",-68,-7.5,2018,0.301473162543606,2305.9
"155",-68,-7,2018,0.277597348334381,2635.02
"156",-68,-6.5,2018,0.312846109141474,2792.55
"157",-68,-6,2018,0.246749480565389,2741.5
"158",-68,-5.5,2018,0.106531461079915,2514.57
"159",-68,-5,2018,0.260664171642727,2258.86
"160",-68,-4.5,2018,0.283750934365355,2119.03
"161",-68,-4,2018,0.347833974861804,2038.05
"162",-68,-3.5,2018,0.290427331363454,2126.94
"163",-68,-3,2018,0.367743665521795,2061.26
"164",-68,-2.5,2018,0.313292187570736,2065.16
"165",-68,-2,2018,0.285483950257566,2258.63
"166",-68,-1.5,2018,0.291071317653463,2557.85
"167",-68,-1,2018,0.282956148090684,2766.64
"168",-68,-0.5,2018,0.263131877933954,2822.24
"169",-68,0,2018,0.257311851997686,2783.43
"170",-68,0.5,2018,0.241580142250544,2713.41
"171",-68,1,2018,0.242083905106884,2636.88
"172",-68,1.5,2018,0.268783321920431,2560.74
"173",-67.5,-10,2018,0.31286863975337,1341.45
"174",-67.5,-9.5,2018,0.314868423882432,1558.93
"175",-67.5,-9,2018,0.278329253196716,1811.82
"176",-67.5,-8.5,2018,0.237998636757455,1994.78
"177",-67.5,-8,2018,0.206575965881348,2136.32
"178",-67.5,-7,2018,0.202107906341553,2411.81
"179",-67.5,-6.5,2018,0.208772003650665,2445.84
"180",-67.5,-6,2018,0.305938529968262,2354.19
