"","lon","lat","cor_ano_prec","p_value_ano_prec"
"142",-40,-7.5,-0.717474673861666,0.0451071183688585
"143",-39.5,-18,0.864119216274669,0.00565029256652464
"144",-39.5,-11,-0.633249035326449,0.0918915926877418
"145",-39.5,-7.5,-0.669951692383348,0.0691015709026005
"146",-39.5,-6,0.685662544838266,0.0604928208949574
"147",-39,-8.5,-0.813283088004996,0.0140800231992077
"148",-39,-8,-0.681434961224109,0.0627427059269892
"149",-39,-7.5,-0.692333515859696,0.0570415436893108
"150",-39,-7,-0.629804536087848,0.0942257390998004
"151",-39,-4.5,-0.622997357205703,0.098938081248051
"152",-38.5,-13,-0.96613986983929,0.03386013016071
"153",-38.5,-11,-0.643665077759142,0.0850383059027195
"154",-38.5,-10.5,-0.726955311230503,0.0410384977301701
"155",-38.5,-8.5,-0.813738143205192,0.0139824312667351
"156",-38.5,-8,-0.849090270044112,0.0076488438791148
"157",-38.5,-7.5,-0.944704975361861,0.000405332157606002
"158",-38.5,-6.5,0.722321638441234,0.0429979435384667
"159",-38.5,-5,-0.758818302759185,0.029034806901294
"160",-38,-10,-0.623068088217652,0.0988884365353974
"161",-38,-8.5,-0.860848822368771,0.0276973797327899
"162",-38,-7.5,-0.859061923924756,0.00627987593407186
"163",-38,-6.5,0.746584765209056,0.0333445606138936
"164",-37.5,-8,-0.807783166623695,0.0152935666834279
"165",-37.5,-7.5,-0.737027896145415,0.0369689019287135
"166",-37.5,-5.5,-0.678620906611052,0.0642674315503363
"167",-37,-10,-0.676902735510392,0.0652090664849182
"168",-37,-8,-0.67071147471488,0.0686696038928064
"169",-37,-6,-0.803703403010496,0.0540166460034068
"170",-36.5,-10.5,-0.632988887780186,0.0920667011703162
"171",-36.5,-8,-0.846290107042213,0.0706498060534127
"172",-36.5,-7.5,-0.734028439890328,0.0381537643093943
"173",-36,-7.5,-0.822452242576106,0.0121951372024582
"174",-36,-6,-0.668019442034964,0.0702073388377243
"175",-36,-5.5,-0.634278181123176,0.0912007492290386
"176",-35.5,-7.5,-0.641016301689874,0.0867519176916424
