"","sif_mean","prec_tot","c.NA...0.0385559238493443..NA..0.11313208937645...0.0167089980095625..","lon","lat","optional"
"1",0.36777367883799,1663.06,NA,-73.5,-8,TRUE
"2",0.384686159709143,1715.29,-0.0385559238493443,-73.5,-7.5,TRUE
"3",0.287472322252062,1737.89,NA,-73.5,-7,TRUE
"4",0.348584350786711,1704.64,0.11313208937645,-73,-8.5,TRUE
"5",0.302185450514702,1726.83,-0.0167089980095625,-73,-8,TRUE
"6",0.367588268237168,1746.59,0.00551334302872419,-73,-7.5,TRUE
"7",0.316040734884516,1740.22,-0.0601422190666199,-73,-7,TRUE
"8",0.307130957938529,1727.81,NA,-73,-6.5,TRUE
"9",0.308240206554683,1824.99,NA,-73,-6,TRUE
"10",0.365963754838297,1713.28,0.107524842023849,-72.5,-9,TRUE
"11",0.364941423589533,1738.29,NA,-72.5,-8.5,TRUE
"12",0.320073355799136,1764.87,NA,-72.5,-8,TRUE
"13",0.306019365787506,1772.28,NA,-72.5,-7.5,TRUE
"14",0.258879363788331,1753.81,NA,-72.5,-7,TRUE
"15",0.261057084401449,1734.03,NA,-72.5,-6.5,TRUE
"16",0.282853825887044,1829.45,NA,-72.5,-6,TRUE
"17",0.335930814025223,2282.53,NA,-72.5,-5,TRUE
"18",0.312472174749225,1374.77,NA,-72,-10,TRUE
"19",0.292591927887557,1556.55,NA,-72,-9.5,TRUE
"20",0.260939419269562,1623.87,0.0285996533930302,-72,-9,TRUE
"21",0.271969825502426,1651.11,NA,-72,-8.5,TRUE
"22",0.432611592610677,1651.53,NA,-72,-7.5,TRUE
"23",0.431079864501953,1704.88,NA,-72,-7,TRUE
"24",0.330002946120042,1804.04,NA,-72,-6.5,TRUE
"25",0.348575305938721,1988.75,NA,-72,-6,TRUE
"26",0.184462547302246,2247.86,0.384292721748352,-72,-5.5,TRUE
"27",0.300983727580369,2417.09,NA,-72,-5,TRUE
"28",0.269121830280011,1163.4,NA,-71.5,-10,TRUE
