"","sif_mean","prec_tot","c.NA...0.0744688138365746..NA..0.0175486113876104...0.138637855648994..","lon","lat","optional"
"82",0.318995874319504,2366.52,NA,-69.5,-7,TRUE
"83",0.336279076470269,2516.59,NA,-69.5,-6.5,TRUE
"84",0.259442732069227,2602.77,NA,-69.5,-6,TRUE
"85",0.313375355767422,2633.58,-0.11263120174408,-69.5,-4.5,TRUE
"86",0.335701009501582,2347.76,-0.030171524733305,-69.5,-4,TRUE
"87",0.327452615455345,2122.05,NA,-69.5,-3.5,TRUE
"88",0.323218197556016,2200.3,NA,-69.5,-3,TRUE
"89",0.305183041302455,2580.27,NA,-69.5,-2.5,TRUE
"90",0.325437297505781,3029.68,NA,-69.5,-2,TRUE
"91",0.278305164570247,3160.63,NA,-69.5,-0.5,TRUE
"92",0.302138814705938,3027.52,NA,-69.5,0,TRUE
"93",0.317721639049652,2932.55,NA,-69.5,0.5,TRUE
"94",0.237938504038807,1182.63,0.0374274775385857,-69,-11,TRUE
"95",0.292297194874476,1082.29,NA,-69,-10.5,TRUE
"96",0.317355633650538,1158.66,NA,-69,-10,TRUE
"97",0.343918433917567,1236.09,NA,-69,-9.5,TRUE
"98",0.420884291330973,1258.33,NA,-69,-9,TRUE
"99",0.230692820115523,1357.55,NA,-69,-8.5,TRUE
"100",0.347668680651435,2304.96,NA,-69,-7,TRUE
"101",0.309438103123715,2433.92,NA,-69,-6.5,TRUE
"102",0.293868902252942,2533.4,NA,-69,-6,TRUE
"103",0.285679199326206,2711.62,NA,-69,-5.5,TRUE
"104",0.32737366492007,2856.05,NA,-69,-5,TRUE
"105",0.261604056300887,2777.03,NA,-69,-4.5,TRUE
"106",0.286237505030505,2689.95,NA,-69,-4,TRUE
"107",0.325179995912494,2626.78,NA,-69,-3.5,TRUE
"108",0.273511489858152,2652.65,-0.0614434815943241,-69,-3,TRUE
"109",0.279792621177124,2786.88,NA,-69,-2.5,TRUE
"110",0.270516715498052,3012.43,NA,-69,-2,TRUE
"111",0.268481723332809,3167.94,NA,-69,-1.5,TRUE
"112",0.255439011946968,3156.16,NA,-69,-1,TRUE
"113",0.236051669487586,2961.33,NA,-69,0,TRUE
"114",0.180372121041281,2923.7,NA,-69,0.5,TRUE
"115",0.261609070173657,2917.52,NA,-69,1,TRUE
"116",0.255389708638843,2909.87,NA,-69,1.5,TRUE
"117",0.295527722285344,1182.63,NA,-68.5,-11,TRUE
"118",0.195326805114746,1082.29,0.0422505773603916,-68.5,-10.5,TRUE
"119",0.801081657409668,1236.09,NA,-68.5,-9.5,TRUE
"120",0.370433948658131,1258.33,NA,-68.5,-9,TRUE
"121",0.335556480119813,1357.55,NA,-68.5,-8.5,TRUE
