"","lon","lat","cor_sif_prec","p_value_sif_prec"
"1",-71.5,-8,-0.8631832602995,0.00576360813695142
"2",-69.5,-4.5,-0.651725816853006,0.0799453473826449
"3",-68,0.5,-0.641713690678439,0.0862988197723399
"4",-63,-4,0.923414086792865,0.00299068716432971
"5",-62.5,-11.5,-0.634231943881749,0.0912317226740793
"6",-62.5,-10,-0.759665335565338,0.0287498921724412
"7",-62,-11,0.673861670148589,0.0668956207085527
"8",-61,-3.5,-0.718832891100802,0.0445099190430252
"9",-60.5,-13.5,0.685117281124139,0.0607802653711685
"10",-60,-2,0.741997867801373,0.0350555777365911
"11",-59.5,-11.5,0.664158383898825,0.0724479515446334
"12",-58.5,-13,0.825868373297425,0.0220741440073529
"13",-58.5,-2.5,-0.837553649671818,0.00945364534438564
"14",-58,-1,0.823625189846283,0.0227628240904603
"15",-57.5,-11,0.860956143478447,0.0609241941142755
"16",-57.5,-1.5,-0.700699926932644,0.0528830600328323
"17",-57,-16.5,-0.686793291137752,0.0598993113150034
"18",-56.5,-15,0.793433422072086,0.0187625708164613
"19",-56.5,-11,0.690494332606263,0.0579810054778405
"20",-56,-30,-0.679405540111987,0.0638401140354792
"21",-56,-21.5,0.638053730733218,0.0886920797390951
"22",-56,-16.5,0.674563576895517,0.0665040858246055
"23",-56,-11.5,-0.80197453615101,0.0166443895358912
"24",-56,-10.5,-0.837387778732349,0.0767672842217633
"25",-56,-10,0.70767036816501,0.0752489518061074
"26",-56,-3.5,0.824423391463695,0.0225163980539353
"27",-56,-2.5,0.989527289601289,0.0922156045461397
"28",-55.5,-10,0.651665085318282,0.0799830345734767
"29",-55.5,-9.5,0.817304227196773,0.0132323701570087
"30",-55,-28,-0.846179883230365,0.00808132117928966
"31",-55,-17,0.623048702029687,0.0989020418983687
"32",-55,-16.5,0.749237461275839,0.0323788730635848
"33",-55,-3,0.82066365480784,0.0125494559830054
"34",-55,-0.5,0.829550335494087,0.0108515217487243
"35",-54.5,-29.5,-0.635995934576813,0.090054365369573
"36",-54.5,-16,0.793816061201765,0.0186642672774836
"37",-54.5,-3,0.693523912927415,0.0839742805843101
"38",-54.5,-2.5,0.717624822190224,0.0450408624988671
"39",-54.5,-1,0.721476109322135,0.043361482319744
"40",-54,-22.5,0.705317735425534,0.0506681250948596
"41",-54,-22,0.667367360457406,0.0705828419907428
"42",-54,-18.5,0.631108783669368,0.0933379482690266
"43",-53.5,-32,0.777814125267669,0.0230549544490535
"44",-53.5,-25.5,0.918646562469221,0.00126527601341567
"45",-53.5,-25,0.921453787935527,0.00114123194008384
"46",-53.5,-23.5,0.621852686528112,0.0997434922429736
"47",-53.5,-22.5,-0.988071256710606,0.0984294662158123
"48",-53.5,-18.5,-0.645249275450996,0.0840228998457846
"49",-53.5,-16,-0.96271956247886,0.000505157881826378
"50",-53,-33,-0.634270361928109,0.0912059867314302
"51",-53,-30.5,0.650254012954083,0.0808616019305644
"52",-53,-28,0.657182070574539,0.076601711685375
"53",-53,-27.5,0.63524789719938,0.0905525552864342
"54",-53,-23.5,0.674651558933704,0.066455103850271
"55",-53,-23,0.759284142056198,0.0288778993357931
"56",-53,-22.5,0.624918199927322,0.097594957941058
