"","sif_mean","prec_tot","c.NA..0.0370583422482014..NA...0.000374449853552505..0.0797383338212967..","lon","lat","optional"
"82",0.342521563443271,1918.14,NA,-69.5,-8.5,TRUE
"83",0.350478969952639,2002.77,NA,-69.5,-8,TRUE
"84",0.345206618309021,2158.88,NA,-69.5,-7.5,TRUE
"85",0.307566426711443,2330.91,NA,-69.5,-7,TRUE
"86",0.299034773219715,2430.97,NA,-69.5,-6.5,TRUE
"87",0.257078857132883,2516.79,NA,-69.5,-6,TRUE
"88",0.244521222795759,2697.46,NA,-69.5,-5.5,TRUE
"89",0.237246011432848,2861.47,NA,-69.5,-5,TRUE
"90",0.308477575128729,2766.4,-0.0699269250035286,-69.5,-4.5,TRUE
"91",0.310572087323224,2321.43,0.00935472548007965,-69.5,-4,TRUE
"92",0.301350314248057,1985.34,NA,-69.5,-3.5,TRUE
"93",0.317957993609683,1922.86,NA,-69.5,-3,TRUE
"94",0.304260015487671,1927.12,NA,-69.5,-2.5,TRUE
"95",0.269865289811165,2003.43,NA,-69.5,-2,TRUE
"96",0.312032051940462,3032.46,NA,-69.5,-0.5,TRUE
"97",0.315082919335889,3293.02,NA,-69.5,0,TRUE
"98",0.331164038699606,3467.32,NA,-69.5,0.5,TRUE
"99",0.221551936013358,3726.94,NA,-69.5,1.5,TRUE
"100",0.321651025251909,1455.64,0.0340991169214249,-69,-11,TRUE
"101",0.326821242356439,1301.68,NA,-69,-10.5,TRUE
"102",0.315271735677914,1304.77,NA,-69,-10,TRUE
"103",0.313654193171748,1501.81,NA,-69,-9.5,TRUE
"104",0.305389350110834,1676.38,NA,-69,-9,TRUE
"105",0.256336645076149,1744.07,NA,-69,-8.5,TRUE
"106",0.258246940115224,1764.59,NA,-69,-8,TRUE
"107",0.408081372578939,1820.96,NA,-69,-7,TRUE
"108",0.323026505586143,1870.79,NA,-69,-6.5,TRUE
"109",0.304094551145568,2045.92,NA,-69,-6,TRUE
"110",0.31414698927026,2418.38,NA,-69,-5.5,TRUE
"111",0.31394853527914,2779.86,NA,-69,-5,TRUE
"112",0.228526443731589,2816.89,NA,-69,-4.5,TRUE
"113",0.254878851424816,2683.04,NA,-69,-4,TRUE
"114",0.297805888312204,2495.93,NA,-69,-3.5,TRUE
"115",0.297002232448565,2381.5,-0.0773995518684387,-69,-3,TRUE
"116",0.294110143907704,2361.28,NA,-69,-2.5,TRUE
"117",0.26777922644784,2453.61,NA,-69,-2,TRUE
"118",0.264920115470886,2700.27,NA,-69,-1.5,TRUE
"119",0.238540064493815,3001.01,NA,-69,-1,TRUE
"120",0.205907503763835,3220.8,NA,-69,-0.5,TRUE
"121",0.35446572303772,3522.6,NA,-69,0.5,TRUE
"122",0.325613682086651,3677.83,NA,-69,1,TRUE
"123",0.204086212884812,3786.32,NA,-69,1.5,TRUE
"124",0.225301077606481,1455.64,NA,-68.5,-11,TRUE
"125",0.240595412254334,1301.68,0.0340143330395222,-68.5,-10.5,TRUE
"126",0.42048056532697,1676.38,NA,-68.5,-9,TRUE
"127",0.372821461070668,1744.07,NA,-68.5,-8.5,TRUE
"128",0.386762833810067,1764.59,NA,-68.5,-8,TRUE
"129",0.336415484435576,1788.21,0.443402886390686,-68.5,-7.5,TRUE
"130",0.274174580628845,1820.96,NA,-68.5,-7,TRUE
"131",0.307989753945901,1870.79,NA,-68.5,-6.5,TRUE
"132",0.303323638630423,2045.92,NA,-68.5,-6,TRUE
"133",0.314101146284942,2418.38,NA,-68.5,-5.5,TRUE
"134",0.294213511049747,2779.86,NA,-68.5,-5,TRUE
"135",0.297230251387591,2816.89,0.00837887264788151,-68.5,-4.5,TRUE
"136",0.282302523847152,2683.04,NA,-68.5,-4,TRUE
"137",0.264045989874638,2495.93,-0.0736252814531326,-68.5,-3.5,TRUE
"138",0.253728437423706,2381.5,NA,-68.5,-3,TRUE
"139",0.360308647155762,3220.8,NA,-68.5,-0.5,TRUE
"140",0.265078016229578,3369.68,NA,-68.5,0,TRUE
"141",0.249084790547689,3522.6,NA,-68.5,0.5,TRUE
"142",0.255060520172119,3677.83,NA,-68.5,1,TRUE
"143",0.286291369197557,3786.32,NA,-68.5,1.5,TRUE
"144",0.289718755086263,1332.05,0.0882333591580391,-68,-10.5,TRUE
"145",0.285668587198063,1323.33,0.0596637018024921,-68,-10,TRUE
"146",0.294978339096595,1474.27,0.0618949867784977,-68,-9.5,TRUE
"147",0.326187544954037,1636.38,NA,-68,-9,TRUE
"148",0.298739610007777,1726.48,0.316309422254562,-68,-8.5,TRUE
"149",0.326285313500298,1750.41,NA,-68,-8,TRUE
"150",0.319862161532487,1734.41,NA,-68,-7.5,TRUE
"151",0.317605424434581,1685.41,NA,-68,-7,TRUE
"152",0.314856023596437,1690.54,0.253224641084671,-68,-6.5,TRUE
"153",0.265547120359522,1899.33,NA,-68,-6,TRUE
"154",0.169625345865885,2330.32,NA,-68,-5.5,TRUE
"155",0.237091064453125,2734.26,NA,-68,-5,TRUE
"156",0.317002201080322,2873.14,NA,-68,-4.5,TRUE
"157",0.328618579440647,2784.35,NA,-68,-4,TRUE
"158",0.344504543379241,2534.3,NA,-68,-3.5,TRUE
"159",0.327508001616507,2406.96,NA,-68,-3,TRUE
"160",0.309662501017253,2349.78,-0.0871849730610847,-68,-2.5,TRUE
"161",0.264997636428987,2445.97,NA,-68,-2,TRUE
"162",0.29442897050277,2734.64,NA,-68,-1.5,TRUE
"163",0.295842297705907,3072.33,NA,-68,-1,TRUE
"164",0.2815656698157,3260.52,NA,-68,-0.5,TRUE
"165",0.268285985014888,3370.83,NA,-68,0,TRUE
"166",0.241563046535599,3524.93,-1.38381350040436,-68,0.5,TRUE
"167",0.231705439532245,3703.17,NA,-68,1,TRUE
"168",0.365769386291504,3830.4,NA,-68,1.5,TRUE
"169",0.299353253336951,1400.84,0.0870362594723701,-67.5,-10,TRUE
"170",0.33101198732511,1601.45,NA,-67.5,-9.5,TRUE
"171",0.354206917430264,1766.94,NA,-67.5,-9,TRUE
"172",0.293433291737626,1789.97,NA,-67.5,-8.5,TRUE
"173",0.25611361017767,1746.08,NA,-67.5,-8,TRUE
"174",0.34585394178118,1668.74,NA,-67.5,-7.5,TRUE
"175",0.344790637493134,1721.1,NA,-67.5,-6.5,TRUE
"176",0.334772162385039,2035.05,NA,-67.5,-6,TRUE
"177",0.338517554683389,2438.06,NA,-67.5,-5.5,TRUE
"178",0.323504262322547,2734.18,-0.213677063584328,-67.5,-5,TRUE
