"","sif_mean","prec_tot","c.NA..0.000869072915520519..NA..0.000119277683552355..0.00434034736827016..","lon","lat","optional"
"1",0.344700024451739,1082.47,NA,-73.5,-8,TRUE
"2",0.349088656674525,1229.76,0.000869072915520519,-73.5,-7.5,TRUE
"3",0.327087415231241,1418.05,NA,-73.5,-7,TRUE
"4",0.3973599090952,1366.21,0.000119277683552355,-73,-8.5,TRUE
"5",0.322155592176649,1527,0.00434034736827016,-73,-8,TRUE
"6",0.328622552160602,1738.24,0.00286527094431221,-73,-7.5,TRUE
"7",0.333093033939074,1882.08,0.00154954858589917,-73,-7,TRUE
"8",0.333276472593609,2070.94,NA,-73,-6.5,TRUE
"9",0.303440491358439,2371.93,NA,-73,-6,TRUE
"10",0.345114129242703,1292.5,9.93465437204577e-05,-72.5,-9,TRUE
"11",0.326909661526316,1296.93,NA,-72.5,-8.5,TRUE
"12",0.315515233039856,1465.79,NA,-72.5,-8,TRUE
"13",0.296072574402592,1694.16,NA,-72.5,-7.5,TRUE
"14",0.245181595692869,1846.19,NA,-72.5,-7,TRUE
"15",0.28284035788642,2092.11,NA,-72.5,-6.5,TRUE
"16",0.347774102137639,2834.98,NA,-72.5,-5,TRUE
"17",0.307625693442427,1674.76,NA,-72,-10,TRUE
"18",0.27227205945956,1678.66,NA,-72,-9.5,TRUE
"19",0.25534031607888,1743.55,0.000408833584515378,-72,-9,TRUE
"20",0.364631860152535,1963.35,NA,-72,-8,TRUE
"21",0.339550238389235,2111.57,NA,-72,-7.5,TRUE
"22",0.265538692474365,2176.31,NA,-72,-7,TRUE
"23",0.201296679178874,2236.52,NA,-72,-6.5,TRUE
"24",0.311011857764665,2351.68,NA,-72,-6,TRUE
"25",0.275491152869331,2573.22,0.00286102923564613,-72,-5.5,TRUE
"26",0.291318887158444,2806.31,NA,-72,-5,TRUE
"27",0.307902133826054,1946.73,NA,-71.5,-9.5,TRUE
"28",0.37668933539555,2109.91,NA,-71.5,-9,TRUE
"29",0.396337467691173,2272.82,NA,-71.5,-8.5,TRUE
"30",0.315098095715531,2344.38,0.00466158194467425,-71.5,-8,TRUE
"31",0.306461586041397,2253.72,NA,-71.5,-7.5,TRUE
"32",0.295025532347683,2215.18,0.00318626989610493,-71.5,-7,TRUE
"33",0.307054655666573,2178.04,NA,-71.5,-6.5,TRUE
"34",0.303379192719093,2214.99,NA,-71.5,-6,TRUE
"35",0.324534104340268,2460.67,NA,-71.5,-5.5,TRUE
"36",0.325861728935025,2790.64,NA,-71.5,-5,TRUE
"37",0.251001971108573,3008.77,NA,-71.5,-4.5,TRUE
"38",0.32610695570418,1946.73,NA,-71,-9.5,TRUE
"39",0.311644179026286,2109.91,0.010454835370183,-71,-9,TRUE
"40",0.317704346052994,2272.82,NA,-71,-8.5,TRUE
"41",0.307329182412214,2344.38,NA,-71,-8,TRUE
"42",0.289975028789021,2253.72,NA,-71,-7.5,TRUE
"43",0.263113411797418,2215.18,NA,-71,-7,TRUE
"44",0.278783729277461,2178.04,NA,-71,-6.5,TRUE
"45",0.262271881103516,2214.99,NA,-71,-6,TRUE
"46",0.221546173095703,2790.64,NA,-71,-5,TRUE
"47",0.289399670016381,3008.77,NA,-71,-4.5,TRUE
"48",0.353218378393027,1444.72,NA,-70.5,-10.5,TRUE
"49",0.327504165619018,1635.91,NA,-70.5,-10,TRUE
"50",0.330907709269411,1874.74,0.00156283634714782,-70.5,-9.5,TRUE
"51",0.228158603204745,2050.63,NA,-70.5,-9,TRUE
"52",0.0786854426066081,2179.67,NA,-70.5,-8.5,TRUE
"53",0.230142844350714,2102.35,NA,-70.5,-6.5,TRUE
"54",0.331533639327339,2157.52,NA,-70.5,-6,TRUE
"55",0.357233792543411,2435.01,-0.000303615612210706,-70.5,-5.5,TRUE
"56",0.293903208569268,2784.89,NA,-70.5,-5,TRUE
"57",0.33580520891598,3072.97,NA,-70.5,-4.5,TRUE
"58",0.476818126180898,1575.44,NA,-70,-10,TRUE
"59",0.470576824286045,1768.01,NA,-70,-9.5,TRUE
"60",0.336234160831996,1926.96,0.00850236508995295,-70,-9,TRUE
"61",0.313104966107537,1974.41,NA,-70,-8.5,TRUE
"62",0.358714237547757,2049.15,0.00141225452534854,-70,-7.5,TRUE
"63",0.306692237347628,2112.9,NA,-70,-7,TRUE
"64",0.306545882280391,2099.86,-0.000346492073731497,-70,-6.5,TRUE
"65",0.301764828267724,2145.83,NA,-70,-6,TRUE
"66",0.291725398624716,2432.34,NA,-70,-5.5,TRUE
"67",0.321552408977496,2792.27,NA,-70,-5,TRUE
"68",0.303508684370253,3057.95,NA,-70,-4.5,TRUE
"69",0.309253484353252,3126.54,NA,-70,0,TRUE
"70",0.331732354285432,3114.96,NA,-70,0.5,TRUE
"71",0.408570538396421,1387.22,0.00903327576816082,-69.5,-10.5,TRUE
"72",0.347866599624221,1482.97,NA,-69.5,-10,TRUE
"73",0.406592033721588,1602.6,0.0256077535450459,-69.5,-9.5,TRUE
"74",0.37099802935565,1695.24,NA,-69.5,-9,TRUE
"75",0.360323742104504,1759.43,NA,-69.5,-8.5,TRUE
"76",0.358084509981439,1846.83,NA,-69.5,-8,TRUE
"77",0.351629584739948,1971.2,NA,-69.5,-7.5,TRUE
"78",0.318508145514499,2060.53,NA,-69.5,-7,TRUE
"79",0.312814864791742,2086.67,NA,-69.5,-6.5,TRUE
"80",0.247902455537216,2162.31,NA,-69.5,-6,TRUE
"81",0.330175441978252,2803.09,NA,-69.5,-5,TRUE
"82",0.251093564071055,3092.14,-0.0016743146115914,-69.5,-4.5,TRUE
"83",0.296653514955102,3237.17,-0.00016497504839208,-69.5,-4,TRUE
"84",0.297148876583453,3247.81,NA,-69.5,-3.5,TRUE
"85",0.367931063582258,3201.1,NA,-69.5,-3,TRUE
"86",0.300586036082064,3174.61,NA,-69.5,-2.5,TRUE
"87",0.280048197713392,3166.02,NA,-69.5,-2,TRUE
"88",0.284363488857152,3094.4,NA,-69.5,-0.5,TRUE
"89",0.31730649684944,3110.74,NA,-69.5,0,TRUE
"90",0.273062250149325,3127.29,NA,-69.5,0.5,TRUE
"91",0.290914826922947,3078.72,NA,-69.5,1.5,TRUE
"92",0.304592499236791,1384.39,NA,-69,-11,TRUE
"93",0.315050725055778,1479.26,NA,-69,-10.5,TRUE
"94",0.329540733910777,1587.29,NA,-69,-10,TRUE
"95",0.326539967019679,1600.74,NA,-69,-9.5,TRUE
"96",0.365951792399089,1557.8,NA,-69,-9,TRUE
"97",0.369058799743652,1554.45,NA,-69,-8.5,TRUE
"98",0.280440002679825,1835.97,NA,-69,-7.5,TRUE
"99",0.277617576075535,1983.05,NA,-69,-7,TRUE
"100",0.258617100892244,2060.29,NA,-69,-6.5,TRUE
"101",0.300824298415073,2164.36,NA,-69,-6,TRUE
"102",0.31205134360206,2417.1,NA,-69,-5.5,TRUE
"103",0.321443649109252,2778.07,NA,-69,-5,TRUE
"104",0.291868387890594,3037.11,NA,-69,-4.5,TRUE
"105",0.287512881828077,2909.35,NA,-69,-4,TRUE
"106",0.313118055462837,2769.48,NA,-69,-3.5,TRUE
"107",0.282033794715311,2619.57,0.0010257848771289,-69,-3,TRUE
"108",0.289574496828277,2554.22,NA,-69,-2.5,TRUE
"109",0.269389938663792,2623.5,NA,-69,-2,TRUE
"110",0.205749130249023,2756.04,NA,-69,-1.5,TRUE
"111",0.286985088039089,2876.68,NA,-69,-1,TRUE
"112",0.235715220524715,2970.92,NA,-69,-0.5,TRUE
"113",0.269736868797699,3036.36,NA,-69,0,TRUE
"114",0.252499131188876,3074.96,NA,-69,0.5,TRUE
"115",0.275961933240213,3076.71,NA,-69,1,TRUE
"116",0.273311101473295,3032.93,NA,-69,1.5,TRUE
"117",0.22354531288147,1384.39,NA,-68.5,-11,TRUE
"118",0.712035179138184,1587.29,0.0207373704761267,-68.5,-10,TRUE
"119",0.401604262265292,1600.74,NA,-68.5,-9.5,TRUE
"120",0.31789870262146,1557.8,NA,-68.5,-9,TRUE
"121",0.327382921098589,1554.45,NA,-68.5,-8.5,TRUE
"122",0.348703117370605,1657.27,NA,-68.5,-8,TRUE
"123",0.324369119561237,1835.97,0.00637660222128034,-68.5,-7.5,TRUE
"124",0.291417288586376,1983.05,NA,-68.5,-7,TRUE
"125",0.307739325297833,2060.29,NA,-68.5,-6.5,TRUE
"126",0.287835797441205,2164.36,NA,-68.5,-6,TRUE
"127",0.280265157793732,2417.1,NA,-68.5,-5.5,TRUE
"128",0.293974691882421,2778.07,NA,-68.5,-5,TRUE
"129",0.253122520779068,3037.11,0.0048808385618031,-68.5,-4.5,TRUE
"130",0.256652891635895,2909.35,NA,-68.5,-4,TRUE
"131",0.25908594021852,2769.48,-0.000447178434114903,-68.5,-3.5,TRUE
"132",0.28046571943495,2554.22,NA,-68.5,-2.5,TRUE
"133",0.306106996166614,2623.5,NA,-68.5,-2,TRUE
"134",0.243814352786902,2756.04,-0.0015104403719306,-68.5,-1.5,TRUE
"135",0.256237720257669,2876.68,NA,-68.5,-1,TRUE
"136",0.226223397762217,2970.92,NA,-68.5,-0.5,TRUE
"137",0.284705796288055,3036.36,NA,-68.5,0,TRUE
"138",0.261494508878453,3074.96,NA,-68.5,0.5,TRUE
"139",0.250195577907349,3076.71,NA,-68.5,1,TRUE
"140",0.273541726086983,3032.93,NA,-68.5,1.5,TRUE
"141",0.248061021169027,1430.64,0.00625343900173903,-68,-10.5,TRUE
"142",0.376104577382406,1584.32,0.00263969064690173,-68,-10,TRUE
"143",0.335142942575308,1622.2,0.0162737257778645,-68,-9.5,TRUE
"144",0.292308930255452,1570.87,NA,-68,-9,TRUE
"145",0.312220186386665,1541.62,0.0192037299275398,-68,-8.5,TRUE
"146",0.287933472197065,1615.89,NA,-68,-8,TRUE
"147",0.279108015339026,1765.27,NA,-68,-7.5,TRUE
"148",0.274214330642644,1905.45,NA,-68,-7,TRUE
"149",0.261272054622608,2007.96,0.00140685751102865,-68,-6.5,TRUE
"150",0.27209303893295,2135.37,NA,-68,-6,TRUE
"151",0.267062527792794,2723.35,NA,-68,-5,TRUE
"152",0.301752855903224,2865.2,NA,-68,-4.5,TRUE
"153",0.282261768976847,2744.83,NA,-68,-4,TRUE
"154",0.296521328389645,2974.8,NA,-68,-3.5,TRUE
"155",0.295502881209056,2825.84,NA,-68,-3,TRUE
"156",0.284644292748493,2699.21,0.000390071014408022,-68,-2.5,TRUE
"157",0.270619341305324,2612.55,NA,-68,-2,TRUE
"158",0.301256482846269,2665.78,NA,-68,-1.5,TRUE
"159",0.253129417246038,2816.15,NA,-68,-1,TRUE
"160",0.267890201098677,2936.95,NA,-68,-0.5,TRUE
"161",0.261074977787294,3011.28,NA,-68,0,TRUE
"162",0.236520220438639,3044.08,-0.0055994070135057,-68,0.5,TRUE
"163",0.241060685138313,3039.21,NA,-68,1,TRUE
"164",0.262041763023094,2997.68,NA,-68,1.5,TRUE
"165",0.307635935480723,1658.41,0.0083345165476203,-67.5,-10,TRUE
"166",0.33941876676661,1602.34,NA,-67.5,-9.5,TRUE
"167",0.262122179715688,1481.99,NA,-67.5,-9,TRUE
"168",0.237790443377788,1415.46,NA,-67.5,-8.5,TRUE
"169",0.253312110900879,1451.05,NA,-67.5,-8,TRUE
"170",0.30966854095459,1561.08,NA,-67.5,-7.5,TRUE
"171",0.281786225058816,1682.91,NA,-67.5,-7,TRUE
