"","sif_mean","prec_tot","c.NA...0.0200341772288084..NA...0.0558364912867546..0.00295023061335087..","lon","lat","optional"
"83",0.416164841621545,988.02,-0.272827506065369,-69.5,-9.5,TRUE
"84",0.374476722670906,1061.36,NA,-69.5,-9,TRUE
"85",0.387017015825238,1311.28,NA,-69.5,-8.5,TRUE
"86",0.364389867266643,1622.33,NA,-69.5,-8,TRUE
"87",0.348245736282237,1881.84,NA,-69.5,-7.5,TRUE
"88",0.300230321278141,2023.32,NA,-69.5,-7,TRUE
"89",0.260449676723271,2061.31,NA,-69.5,-6.5,TRUE
"90",0.299619156973703,2060.53,NA,-69.5,-6,TRUE
"91",0.257376469098605,2066.84,NA,-69.5,-5.5,TRUE
"92",0.349941337317751,2092.38,NA,-69.5,-5,TRUE
"93",0.34229378266768,2174.53,0.125650614500046,-69.5,-4.5,TRUE
"94",0.324057861610695,2264.28,-0.00335788773372769,-69.5,-4,TRUE
"95",0.296604388834059,2288.7,NA,-69.5,-3.5,TRUE
"96",0.263917699384917,2289.46,NA,-69.5,-3,TRUE
"97",0.27236735055206,2327.56,NA,-69.5,-2.5,TRUE
"98",0.287618402260632,2425,NA,-69.5,-2,TRUE
"99",0.27894245131744,2718.34,NA,-69.5,-0.5,TRUE
"100",0.326853257572784,2733.42,NA,-69.5,0,TRUE
"101",0.306590357306283,2725.46,NA,-69.5,0.5,TRUE
"102",0.264264831542969,2690.38,NA,-69.5,1.5,TRUE
"103",0.353226453065872,1527.56,NA,-69,-11,TRUE
"104",0.403379989292311,1429.33,NA,-69,-10.5,TRUE
"105",0.356635450242876,1353.17,NA,-69,-10,TRUE
"106",0.325760664967443,1285.1,NA,-69,-9.5,TRUE
"107",0.334825379074,1256.38,NA,-69,-9,TRUE
"108",0.306775235418064,1332.23,NA,-69,-8.5,TRUE
"109",0.374626299540202,1529.86,NA,-69,-8,TRUE
"110",0.417944060431586,1776.64,NA,-69,-7.5,TRUE
"111",0.339285673097123,1956.68,NA,-69,-7,TRUE
"112",0.302992031728621,2030.04,NA,-69,-6.5,TRUE
"113",0.312207119805472,2045.48,NA,-69,-6,TRUE
"114",0.332561166792954,2062.69,NA,-69,-5.5,TRUE
"115",0.303835107569109,2111.1,NA,-69,-5,TRUE
"116",0.264183062891806,2172.34,NA,-69,-4.5,TRUE
"117",0.323328149867357,2180.6,NA,-69,-4,TRUE
"118",0.334200178431099,2194.98,NA,-69,-3.5,TRUE
"119",0.343310868298566,2207.02,0.155779153108597,-69,-3,TRUE
"120",0.321941377411426,2249.97,NA,-69,-2.5,TRUE
"121",0.305002285708055,2376.2,NA,-69,-2,TRUE
"122",0.302874269411545,2544.47,NA,-69,-1.5,TRUE
"123",0.304147826300727,2666.37,NA,-69,-1,TRUE
"124",0.309126642015245,2722.51,NA,-69,-0.5,TRUE
"125",0.305531873201069,2730.9,NA,-69,0,TRUE
"126",0.299043005546637,2713.31,NA,-69,0.5,TRUE
"127",0.262704703013102,2682.8,NA,-69,1,TRUE
"128",0.236426864845165,2644.83,NA,-69,1.5,TRUE
"129",0.254638521690068,1527.56,NA,-68.5,-11,TRUE
"130",0.244589824302524,1429.33,-0.0296445731073618,-68.5,-10.5,TRUE
"131",0.415862560272217,1353.17,-0.182053133845329,-68.5,-10,TRUE
"132",0.487089424133301,1285.1,NA,-68.5,-9.5,TRUE
"133",0.400644452231271,1256.38,NA,-68.5,-9,TRUE
"134",0.410081340911541,1332.23,NA,-68.5,-8.5,TRUE
"135",0.38238250929425,1529.86,NA,-68.5,-8,TRUE
"136",0.313593984588863,1776.64,0.272214949131012,-68.5,-7.5,TRUE
"137",0.284402330186632,1956.68,NA,-68.5,-7,TRUE
"138",0.298357932433176,2030.04,NA,-68.5,-6.5,TRUE
"139",0.309564189411985,2045.48,NA,-68.5,-6,TRUE
"140",0.294071175404732,2062.69,NA,-68.5,-5.5,TRUE
"141",0.310572695472966,2111.1,NA,-68.5,-5,TRUE
"142",0.300028340669059,2172.34,0.0766488090157509,-68.5,-4.5,TRUE
"143",0.285388097576067,2180.6,NA,-68.5,-4,TRUE
"144",0.276248799837553,2194.98,0.0258977506309748,-68.5,-3.5,TRUE
"145",0.277560892793321,2207.02,NA,-68.5,-3,TRUE
"146",0.299932737608214,2249.97,NA,-68.5,-2.5,TRUE
"147",0.289064109325409,2376.2,NA,-68.5,-2,TRUE
"148",0.256845694321852,2544.47,0.265015661716461,-68.5,-1.5,TRUE
"149",0.258715081402636,2666.37,NA,-68.5,-1,TRUE
"150",0.216750956998013,2722.51,NA,-68.5,-0.5,TRUE
"151",0.256583125434787,2730.9,NA,-68.5,0,TRUE
"152",0.256979326739359,2713.31,NA,-68.5,0.5,TRUE
"153",0.264686066528846,2682.8,NA,-68.5,1,TRUE
"154",0.270516471920417,2644.83,NA,-68.5,1.5,TRUE
"155",0.442145169576009,1442.04,0.0309618301689625,-68,-10.5,TRUE
"156",0.391264029911586,1343.53,0.00266522588208318,-68,-10,TRUE
"157",0.384770462036133,1286.49,-0.0313164182007313,-68,-9.5,TRUE
"158",0.334590045232621,1288.19,NA,-68,-9,TRUE
"159",0.300732616046528,1379.89,0.402290433645248,-68,-8.5,TRUE
"160",0.306228214627896,1558.06,NA,-68,-8,TRUE
"161",0.314556728974553,1754.63,NA,-68,-7.5,TRUE
"162",0.314954548030512,1897.61,NA,-68,-7,TRUE
"163",0.281204200085299,1976.51,0.117200173437595,-68,-6.5,TRUE
"164",0.228322613914058,2015.03,NA,-68,-6,TRUE
"165",0.314088697018831,2038.64,NA,-68,-5.5,TRUE
"166",0.160675048828125,2083.61,NA,-68,-5,TRUE
"167",0.326218234791475,2224.12,NA,-68,-3,TRUE
"168",0.282605133620389,2279.44,-0.0657566487789154,-68,-2.5,TRUE
"169",0.283015945811331,2386.52,NA,-68,-2,TRUE
"170",0.273451068319636,2531.02,NA,-68,-1.5,TRUE
"171",0.268144027151243,2659.67,NA,-68,-1,TRUE
"172",0.272463630452175,2722.81,NA,-68,-0.5,TRUE
"173",0.254675570635245,2730.82,NA,-68,0,TRUE
"174",0.249615102401948,2710.31,0.134259909391403,-68,0.5,TRUE
"175",0.231015874433887,2671.42,NA,-68,1,TRUE
"176",0.191781933024778,2625.25,NA,-68,1.5,TRUE
"177",0.332441105801835,1404.85,0.0531614497303963,-67.5,-10,TRUE
"178",0.352940137535052,1434.32,NA,-67.5,-9.5,TRUE
"179",0.332311054802481,1449.05,NA,-67.5,-9,TRUE
"180",0.278676123368113,1477.44,NA,-67.5,-8.5,TRUE
"181",0.208858489990234,1557.72,NA,-67.5,-8,TRUE
"182",0.310530117579869,1677.15,NA,-67.5,-7.5,TRUE
