"","lon","lat","city_ref","anomalie","class_anomalie","class_nova"
"1",-73.436212623797,-7.50637570685889,"Mâncio Lima",0.0500365507594942,"Emission","< 1"
"2",-73.2237996935056,-7.84388048443167,"Rodrigues Alves",0.0245314500694965,"Emission","< 1"
"3",-72.8445879498086,-7.22978092952451,"Guajará",0.0285704543943444,"Emission","< 1"
"4",-72.769501,-7.59991,"Cruzeiro Do Sul",0.00180668209318884,"Emission","< 1"
"5",-72.7553304218677,-7.9725286397621,"Cruzeiro Do Sul",0.079963995104558,"Emission","< 1"
"6",-72.7349135140501,-8.49244909146235,"Porto Walter",-0.000148791074511662,"Removal","< 0"
"7",-72.6721925435289,-7.62754168838947,"Cruzeiro Do Sul",0.0433942515571209,"Emission","< 1"
"8",-72.5593640255015,-9.09688649135233,"Marechal Thaumaturgo",0.0230718785780016,"Emission","< 1"
"9",-71.9058207693425,-9.24226548573283,"Jordão",0.0603378989860605,"Emission","< 1"
"10",-71.7407247801727,-5.71061130978623,"Atalaia Do Norte",-0.149316001011436,"Removal","< 0"
"11",-71.4449915259482,-8.23946595661596,"Tarauacá",0.11153148063489,"Emission","< 1"
"12",-71.4128668677446,-7.18051157923575,"Ipixuna",-0.060384567393479,"Removal","< 0"
"13",-70.884858095029,-8.13105339647864,"Tarauacá",0.0927213587112573,"Emission","< 1"
"14",-70.7444757427875,-8.92429348856395,"Feijó",0.0551547708945624,"Emission","< 1"
"15",-70.3964080617679,-9.41234936079402,"Santa Rosa Do Purus",-0.0180059401459079,"Removal","< 0"
"16",-70.2768377851722,-5.42842836610177,"Benjamin Constant",0.0243945785787922,"Emission","< 1"
"17",-70.218248152793,-7.02199804721698,"Eirunepé",0.00559142452292518,"Emission","< 1"
"18",-70.0550858891606,-7.57330419046941,"Envira",-0.0225371965205723,"Removal","< 0"
"19",-70.0061515758409,-10.780268510515,"Assis Brasil",-0.00373545991626198,"Removal","< 0"
"20",-69.935799,-4.25567,"Tabatinga",0.00370887540359591,"Emission","< 1"
"21",-69.9318013853203,-4.23264079284152,"Tabatinga",0.0177427964528217,"Emission","< 1"
"22",-69.9174580275265,-4.21965442203257,"Tabatinga",0.00613752871125727,"Emission","< 1"
"23",-69.8797988891602,-6.63953018188477,"Eirunepé",0.000395345266817648,"Emission","< 1"
"24",-69.8557015662941,-9.38328008246644,"Manoel Urbano",0.0110095006546724,"Emission","< 1"
"25",-69.6756879652419,-4.0288289219263,"Tabatinga",0.00730732915491424,"Emission","< 1"
"26",-69.4511185863739,-4.50143648494653,"São Paulo De Olivença",-0.0590194567543131,"Removal","< 0"
"27",-69.3830075269298,-9.77220173684327,"Sena Madureira",-0.0515763020359112,"Removal","< 0"
"28",-69.2065513599838,-10.7495372422272,"Brasiléia",0.188180838908436,"Emission","< 1"
