"","lon","lat","city_ref","anomalie","class_anomalie","class_nova"
"1",-73.436212623797,-7.50637570685889,"Mâncio Lima",-0.0259786181453639,"Removal","< 0"
"2",-73.2237996935056,-7.84388048443167,"Rodrigues Alves",0.00606463406481507,"Emission","< 1"
"3",-72.8445879498086,-7.22978092952451,"Guajará",-0.00196800329905456,"Removal","< 0"
"4",-72.769501,-7.59991,"Cruzeiro Do Sul",0.00322763628581489,"Emission","< 1"
"5",-72.7553304218677,-7.9725286397621,"Cruzeiro Do Sul",0.0177783312418661,"Emission","< 1"
"6",-72.7349135140501,-8.49244909146235,"Porto Walter",-0.0036837374915238,"Removal","< 0"
"7",-72.5593640255015,-9.09688649135233,"Marechal Thaumaturgo",0.00494766797469769,"Emission","< 1"
"8",-71.9058207693425,-9.24226548573283,"Jordão",-0.0485164388346555,"Removal","< 0"
"9",-71.7407247801727,-5.71061130978623,"Atalaia Do Norte",-0.60836478720896,"Removal","< 0"
"10",-71.4449915259482,-8.23946595661596,"Tarauacá",-0.0753193805466112,"Removal","< 0"
"11",-71.4128668677446,-7.18051157923575,"Ipixuna",-0.108055065204293,"Removal","< 0"
"12",-70.7444757427875,-8.92429348856395,"Feijó",-0.524724509012307,"Removal","< 0"
"13",-70.3964080617679,-9.41234936079402,"Santa Rosa Do Purus",-0.126579556465996,"Removal","< 0"
"14",-70.2768377851722,-5.42842836610177,"Benjamin Constant",-0.108060568134996,"Removal","< 0"
"15",-70.218248152793,-7.02199804721698,"Eirunepé",-0.343847445487807,"Removal","< 0"
"16",-70.0550858891606,-7.57330419046941,"Envira",-0.0519464656526656,"Removal","< 0"
"17",-70.0061515758409,-10.780268510515,"Assis Brasil",-0.00958159372731355,"Removal","< 0"
"18",-69.9428,-4.2339,"Tabatinga",-0.000220626048435873,"Removal","< 0"
"19",-69.935799,-4.25567,"Tabatinga",0.00432424125463981,"Emission","< 1"
"20",-69.8797988891602,-6.63953018188477,"Eirunepé",0.000152994271069569,"Emission","< 1"
"21",-69.8557015662941,-9.38328008246644,"Manoel Urbano",-0.290353736555153,"Removal","< 0"
"22",-69.6756879652419,-4.0288289219263,"Tabatinga",0.00968192584247072,"Emission","< 1"
"23",-69.4511185863739,-4.50143648494653,"São Paulo De Olivença",-0.0866287913796188,"Removal","< 0"
"24",-69.3830075269298,-9.77220173684327,"Sena Madureira",0.0532270250543972,"Emission","< 1"
"25",-69.2065513599838,-10.7495372422272,"Brasiléia",0.120654195104674,"Emission","< 1"
"26",-69.0872585282825,-3.05237276981368,"Santo Antônio Do Içá",-0.122141569613062,"Removal","< 0"
"27",-68.6182824581683,-10.8891209528503,"Epitaciolândia",0.00914508455771145,"Emission","< 1"
"28",-68.5044408136186,-10.5755718755675,"Xapuri",0.0654419446292406,"Emission","< 1"
"29",-68.4063044801014,-4.71529084220981,"Jutaí",0.054398707314873,"Emission","< 1"
"30",-68.3710619510093,-10.0661349491742,"Rio Branco",0.130954405693856,"Emission","< 1"
"31",-68.3166919207107,-1.69970336927077,"Japurá",0.355655362597635,"Emission","< 1"
"32",-68.2864994699081,-3.41843342830083,"Amaturá",0.0400328795751625,"Emission","< 1"
"33",-68.1971409475066,-7.75780543969732,"Pauini",-0.426967171370939,"Removal","< 0"
"34",-68.1737108690377,-9.61409487407495,"Bujari",0.0145264921968901,"Emission","< 1"
"35",-68.1128412174588,-6.68282224110506,"Itamarati",-0.0458795527427396,"Removal","< 0"
"36",-68.0476335877583,-8.77315466766972,"Boca Do Acre",-0.0211449160293966,"Removal","< 0"
